chapter,index,x,y
Chapter3,25,792.47,926.70
Chapter3,26,815.94,883.89
Chapter3,27,822.56,839.09
Chapter3,28,825.18,794.28
Chapter3,29,825.18,756.98
Chapter3,30,825.18,719.67
Chapter3,31,825.18,682.37
Chapter3,32,825.18,645.07
Chapter3,33,825.18,607.76
Chapter3,34,825.18,570.46
Chapter3,35,825.18,533.15
Chapter3,36,825.18,495.85
Chapter3,37,825.18,458.54
Chapter3,38,825.18,421.24
Chapter3,39,825.18,383.94
Chapter3,40,825.18,346.63
Chapter3,41,825.18,309.33
Chapter3,42,825.18,272.02
Chapter3,43,825.18,234.72
Chapter3,44,825.18,197.42
Chapter3,45,825.18,160.11
Chapter3,46,825.18,122.81
Chapter3,47,825.18,85.50
Chapter3,48,825.18,48.20
Chapter4,0,902.38,927.00
Chapter4,1,906.19,896.63
Chapter4,2,910.00,866.25
Chapter4,3,913.82,835.88
Chapter4,4,917.63,805.50
Chapter4,5,921.75,775.13
Chapter4,6,925.88,744.75
Chapter4,7,930.00,714.38
Chapter4,8,934.13,684.00
Chapter4,9,939.24,644.01
Chapter4,10,944.35,604.02
Chapter4,11,949.46,564.04
Chapter4,12,954.56,524.05
Chapter4,13,959.67,484.06
Chapter4,14,964.78,444.07
Chapter4,15,969.89,404.09
Chapter4,16,975.00,364.10
Chapter4,17,980.11,324.11
Chapter4,18,985.22,284.12
Chapter4,19,990.33,244.14
Chapter4,20,995.44,204.15
Chapter4,21,1001.05,164.16
Chapter4,22,1006.66,124.17
Chapter4,23,1012.27,84.19
Chapter4,24,1017.88,44.20
Chapter4,25,1022.56,84.19
Chapter4,26,1027.24,124.17
Chapter4,27,1031.92,164.16
Chapter4,28,1036.60,204.15
Chapter4,29,1041.28,244.14
Chapter4,30,1045.97,284.12
Chapter4,31,1050.65,324.11
Chapter4,32,1055.33,364.10
Chapter4,33,1060.01,404.09
Chapter4,34,1064.69,444.07
Chapter4,35,1069.37,484.06
Chapter4,36,1074.05,524.05
Chapter4,37,1078.74,564.04
Chapter4,38,1083.42,604.02
Chapter4,39,1088.10,644.01
Chapter4,40,1092.78,684.00
Chapter4,41,1096.78,714.38
Chapter4,42,1100.79,744.75
Chapter4,43,1104.79,775.13
Chapter4,44,1108.80,805.50
Chapter4,45,1112.80,835.88
Chapter4,46,1116.81,866.25
Chapter4,47,1120.81,896.63
Chapter4,48,1124.82,927.00
Chapter5,0,1325.88,927.00
Chapter5,1,1295.21,927.00
Chapter5,2,1264.54,927.00
Chapter5,3,1233.86,927.00
Chapter5,4,1203.19,927.00
Chapter5,5,1203.19,907.03
Chapter5,6,1203.19,887.05
Chapter5,7,1203.19,867.08
Chapter5,8,1203.19,847.11
Chapter5,9,1203.19,827.14
Chapter5,10,1203.19,807.16
Chapter5,11,1203.19,787.19
Chapter5,12,1203.19,767.22
Chapter5,13,1203.19,747.25
Chapter5,14,1203.19,727.27
Chapter5,15,1203.19,707.30
Chapter5,16,1203.19,687.33
Chapter5,17,1203.19,667.35
Chapter5,18,1203.19,647.38
Chapter5,19,1203.19,627.41
Chapter5,20,1203.19,607.44
Chapter5,21,1203.19,587.46
Chapter5,22,1203.19,567.49
Chapter5,23,1203.19,547.52
Chapter5,24,1203.19,527.54
Chapter5,25,1203.19,507.57
Chapter5,26,1203.19,487.60
Chapter5,27,1203.19,467.63
Chapter5,28,1203.19,447.65
Chapter5,29,1203.19,427.68
Chapter5,30,1203.19,407.71
Chapter5,31,1203.19,387.74
Chapter5,32,1203.19,367.76
Chapter5,33,1203.19,347.79
Chapter5,34,1203.19,327.82
Chapter5,35,1203.19,307.84
Chapter5,36,1203.19,287.87
Chapter5,37,1203.19,267.90
Chapter5,38,1203.19,247.93
Chapter5,39,1203.19,227.95
Chapter5,40,1203.19,207.98
Chapter5,41,1203.19,188.01
Chapter5,42,1203.19,168.03
Chapter5,43,1203.19,148.06
Chapter5,44,1203.19,128.09
Chapter5,45,1203.19,108.12
Chapter5,46,1203.19,88.14
Chapter5,47,1203.19,68.17
Chapter5,48,1203.19,48.20
Chapter6,0,1406.65,48.20
Chapter6,1,1406.65,66.51
Chapter6,2,1406.65,84.82
Chapter6,3,1406.65,103.12
Chapter6,4,1406.65,121.43
Chapter6,5,1406.65,139.74
Chapter6,6,1406.65,158.05
Chapter6,7,1406.65,176.36
Chapter6,8,1406.65,194.67
Chapter6,9,1406.65,212.97
Chapter6,10,1406.65,231.28
Chapter6,11,1406.65,249.59
Chapter6,12,1406.65,267.90
Chapter6,13,1406.65,286.21
Chapter6,14,1406.65,304.52
Chapter6,15,1406.65,322.82
Chapter6,16,1406.65,341.13
Chapter6,17,1406.65,359.44
Chapter6,18,1406.65,377.75
Chapter6,19,1406.65,396.06
Chapter6,20,1406.65,414.37
Chapter6,21,1406.65,432.67
Chapter6,22,1406.65,450.98
Chapter6,23,1406.65,469.29
Chapter6,24,1406.65,487.60
Chapter6,25,1406.65,505.91
Chapter6,26,1406.65,524.22
Chapter6,27,1406.65,542.52
Chapter6,28,1406.65,560.83
Chapter6,29,1406.65,579.14
Chapter6,30,1406.65,597.45
Chapter6,31,1406.65,615.76
Chapter6,32,1406.65,634.07
Chapter6,33,1406.65,652.37
Chapter6,34,1406.65,670.68
Chapter6,35,1406.65,688.99
Chapter6,36,1406.65,707.30
Chapter6,37,1406.65,725.61
Chapter6,38,1406.65,743.92
Chapter6,39,1406.65,762.22
Chapter6,40,1406.65,780.53
Chapter6,41,1406.65,798.84
Chapter6,42,1406.65,817.15
Chapter6,43,1406.65,835.46
Chapter6,44,1406.65,853.77
Chapter6,45,1406.65,872.07
Chapter6,46,1406.65,890.38
Chapter6,47,1406.65,908.69
Chapter6,48,1406.65,927.00
Afterword,0,1650.85,927.00
Afterword,1,1610.23,927.00
Afterword,2,1569.61,927.00
Afterword,3,1528.99,927.00
Afterword,4,1488.37,927.00
Afterword,5,1492.43,905.03
Afterword,6,1496.49,883.06
Afterword,7,1500.55,861.09
Afterword,8,1504.62,839.12
Afterword,9,1508.68,817.15
Afterword,10,1512.74,795.18
Afterword,11,1516.80,773.21
Afterword,12,1520.86,751.24
Afterword,13,1524.93,729.27
Afterword,14,1528.99,707.30
Afterword,15,1533.05,685.33
Afterword,16,1537.11,663.36
Afterword,17,1541.17,641.39
Afterword,18,1545.24,619.42
Afterword,19,1549.30,597.45
Afterword,20,1553.36,575.48
Afterword,21,1557.42,553.51
Afterword,22,1561.48,531.54
Afterword,23,1565.55,509.57
Afterword,24,1569.61,487.60
Afterword,25,1573.67,465.63
Afterword,26,1577.73,443.66
Afterword,27,1581.79,421.69
Afterword,28,1585.86,399.72
Afterword,29,1589.92,377.75
Afterword,30,1593.98,355.78
Afterword,31,1598.04,333.81
Afterword,32,1602.10,311.84
Afterword,33,1606.17,289.87
Afterword,34,1610.23,267.90
Afterword,35,1614.29,245.93
Afterword,36,1618.35,223.96
Afterword,37,1622.42,201.99
Afterword,38,1626.48,180.02
Afterword,39,1630.54,158.05
Afterword,40,1634.60,136.08
Afterword,41,1638.66,114.06
Afterword,42,1642.73,92.04
Afterword,43,1646.79,70.02
Afterword,44,1650.85,48.00
Afterword,45,1613.35,48.05
Afterword,46,1575.86,48.10
Afterword,47,1538.36,48.15
Afterword,48,1500.87,48.20
Appendix,0,1862.08,48.00
Appendix,1,1829.42,48.05
Appendix,2,1796.77,48.10
Appendix,3,1764.12,48.15
Appendix,4,1731.47,48.20
Appendix,5,1731.47,74.06
Appendix,6,1731.47,99.92
Appendix,7,1731.47,125.79
Appendix,8,1731.47,151.65
Appendix,9,1731.47,177.51
Appendix,10,1731.47,203.37
Appendix,11,1731.47,229.24
Appendix,12,1731.47,255.10
Appendix,13,1731.47,280.96
Appendix,14,1731.47,306.82
Appendix,15,1731.47,332.69
Appendix,16,1731.47,358.55
Appendix,17,1731.47,384.41
Appendix,18,1731.47,410.27
Appendix,19,1731.47,436.14
Appendix,20,1731.47,484.06
Appendix,21,1731.47,508.51
Appendix,22,1731.47,531.76
Appendix,23,1731.47,555.02
Appendix,24,1731.47,578.27
Appendix,25,1731.47,601.53
Appendix,26,1731.47,624.78
Appendix,27,1731.47,648.04
Appendix,28,1731.47,671.29
Appendix,29,1731.47,694.55
Appendix,30,1731.47,717.80
Appendix,31,1731.47,741.06
Appendix,32,1731.47,764.31
Appendix,33,1731.47,787.57
Appendix,34,1731.47,810.82
Appendix,35,1731.47,834.08
Appendix,36,1731.47,857.33
Appendix,37,1731.47,880.59
Appendix,38,1731.47,903.84
Appendix,39,1731.47,927.10
Appendix,40,1767.24,927.05
Appendix,41,1803.02,927.00
Appendix,42,1838.80,926.95
Appendix,43,1874.58,926.90
Appendix,44,1731.47,462.00
Appendix,45,1763.67,462.00
Appendix,46,1795.87,462.00
Appendix,47,1822.73,462.00
Appendix,48,1849.58,462.00
